NOMBRE,PRECIO,DISPONIBILIDAD,IMAGEN,SUBCATEGORIA,SKU
"Alexa Echo Dot,""C$2,450"",1,./assets/productos/alexa-echo-dot-1-22b4cca1.webp|./assets/productos/alexa-echo-dot-2-ae8be910.webp|./assets/productos/alexa-echo-dot-3-7093cd25.webp,ALEXAS,"
"Alexa Echo Pop,""C$1,850"",1,./assets/productos/alexa-echo-pop-1-233e6fae.webp|./assets/productos/alexa-echo-pop-2-13f71d48.webp|./assets/productos/alexa-echo-pop-3-1e229146.webp,ALEXAS,"
"Alexa Echo Show,""C$2,950"",1,./assets/productos/alexa-echo-show-1-e2ea659b.webp|./assets/productos/alexa-echo-show-2-ddf1e4be.webp|./assets/productos/alexa-echo-show-3-5d8dfa87.webp,ALEXAS,"
"Alexa Echo Show 8,""C$5,290"",1,./assets/productos/alexa-echo-show-8-1-23602036.webp,ALEXAS,"
"Alexa Echo Spot,""C$3,150"",2,./assets/productos/alexa-echo-spot-1-752c9d81.webp|./assets/productos/alexa-echo-spot-2-1ec14db6.webp,ALEXAS,"
Auriculares Airpods 4,C$790,1,,AURICULARES,
Auriculares Airpods Pro 2,C$650,2,,AURICULARES,
Auriculares Airpods Pro 3,C$790,1,,AURICULARES,
Auriculares Celebrat TWS-W13,C$880,3,,AURICULARES,
Auriculares Celebrat TWS-W16,C$780,1,,AURICULARES,
Auriculares Gamer P36,C$600,1,,AURICULARES,
"Auriculares JBL JR 310,""C$3,330"",1,https://lh3.googleusercontent.com/pw/AP1GczPAreg8N3dRL1-NPHgBhuxXaxmMYFSH5lRMJTBMkRpxG2yXnxTlNExutRfJ7xG9iZEZSiTQdB_9tR9VTdPr_2SJ8TT19w3B_7GVl48Fc7gBOCoThyndyctPl6V1yUVeTXQD3_1HApLmGHF4HzZN1coR=w660-h881-s-no-gm?authuser=0,AURICULARES,"
"Auriculares JBL Beam 2,""C$2,960"",1,https://lh3.googleusercontent.com/pw/AP1GczOk9kFJLDS2A-ocMD6adu6J0XG6MJkl-B9GOKZ8Pqcog7L1JpeqQgnzkNvPm8vg2_YXi8TEmm6nPm7rx7JMhkODpD4qDKOu--wlKwibiJ6RfLq-cyERLVBQF6yt79SI5eu5DM21x4SGc7diQDE9uS61=w662-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczMm-nmT2CckldT4TUviAZ_BIqAUSaox6eE0nzzqGQnM1pYSHDS3Ec1P8928xvc3TdkJ8xPQxs9vVh9NEcet5JqqdxXorEZtRbCcmThaLGg3WHScx2eNP9USsPs2hxKonjMuwENdgTZJ1bJakKL41G8o=w662-h882-s-no-gm?authuser=0,AURICULARES,"
"Auriculares JBL Buds 2,""C$2,220"",1,https://lh3.googleusercontent.com/pw/AP1GczMpzV2bXXm4aRoogOj7ZPWO6Ks6iwRs-40v5QEletbUb1nKN-KhYn0lmo6uLqjyMcIdJlN4oXjC6WAq2TdQLCEcqXMwQBOyNEOeljyI2mUBfGbywH6LWk93ZcLddK-3vn4rbZDrjKaKxcfteRWraK0F=w660-h881-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczNwK9VxsDean6pExVPOn11KTrFaBEeWAgO3cdsqDuAcHzv2a5jpTkctR481l968GzeywhBFl0wKF0Z1FXrWXbJyddsKgBX2XP4mbz8l5sxx7pTgT1qjgeNiqOx_XJYUaO2dHRvKOcbOe9zUuE8mgD93=w660-h881-s-no-gm?authuser=0,AURICULARES,"
"Auriculares JBL Tune 520,""C$1,925"",1,https://lh3.googleusercontent.com/pw/AP1GczOSUPJmvmUA7SOcZz1-wJb8Fn9fvnXn9u9oMd4lyptmVDmiemQfA7YwuXxJeS0evLAQ7p8bMNw_sRbPrq9wfEI4tZ2h6NLOwwewLrSJFi0BsbLU_m9hTmDqNOnirgRQNSJZagIdQyd7UQj5XnHD_2CC=w662-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOAav3Xi4Fi5QthQ3X3kS2Bn1cdpYk8ity0QeuI_B6AFzr-y2w5yvwEEleCoD6-dDzj4hDGUA93FG9Gg4KD9k22AbjT89Q79lnW9iVb_93_EPZ-70iX-a4wUCc3AvQaePyF43RYat3G5sJVgxPl9Rso=w662-h882-s-no-gm?authuser=0,AURICULARES,"
